Marca,Modelo,Precio,Stock,Caracteristicas
Samsung;Galaxy A14;229,99;23;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Samsung;Galaxy A52;399,99;30;Cámara 50MP;6GB RAM;128GB ROM;Android
Samsung;Galaxy A54;449,99;93;Cámara 12MP;12GB RAM;512GB ROM;HarmonyOS
Samsung;Galaxy M33;349,99;95;Cámara 50MP;6GB RAM;128GB ROM;Android
Samsung;Galaxy Note 20;999,99;35;Cámara 12MP;4GB RAM;256GB ROM;HarmonyOS
Samsung;Galaxy S20 FE;599,99;10;Cámara 64MP;4GB RAM;128GB ROM;Android
Samsung;Galaxy S21;699,99;5;Cámara 48MP;6GB RAM;128GB ROM;Android
Samsung;Galaxy S22;899,99;28;Cámara 12MP;4GB RAM;512GB ROM;HarmonyOS
Samsung;Galaxy S23 Ultra;1199,99;77;Cámara 64MP;6GB RAM;256GB ROM;Android
Samsung;Galaxy Z Flip;1099,99;79;Cámara 50MP;12GB RAM;128GB ROM;Android
Samsung;Galaxy Z Fold 4;1799,99;64;Cámara 64MP;4GB RAM;512GB ROM;HarmonyOS
Huawei;Honor 50;349,99;43;Cámara 50MP;12GB RAM;512GB ROM;HarmonyOS
Huawei;Mate 40 Pro;1099,99;56;Cámara 12MP;12GB RAM;64GB ROM;HarmonyOS
Huawei;Mate Xs 2;1899,99;47;Cámara 64MP;12GB RAM;128GB ROM;Android
Huawei;Nova 10;449,99;40;Cámara 50MP;6GB RAM;64GB ROM;Android
Huawei;Nova 9;399,99;85;Cámara 64MP;6GB RAM;128GB ROM;Android
Huawei;P Smart 2021;229,99;84;Cámara 64MP;8GB RAM;256GB ROM;HarmonyOS
Huawei;P30 Pro;799,99;11;Cámara 50MP;4GB RAM;128GB ROM;Android
Huawei;P50 Pocket;1299,99;40;Cámara 12MP;12GB RAM;64GB ROM;HarmonyOS
Huawei;P60;999,99;98;Cámara 64MP;4GB RAM;64GB ROM;Android
Huawei;Y9a;299,99;38;Cámara 12MP;12GB RAM;64GB ROM;HarmonyOS
Apple;iPhone 11;599,99;44;Cámara 12MP;6GB RAM;64GB ROM;iOS
Apple;iPhone 12;999,99;3;Cámara 12MP;4GB RAM;64GB ROM;iOS
Apple;iPhone 12 Mini;699,99;49;Cámara 50MP;8GB RAM;64GB ROM;iOS
Apple;iPhone 13;1099,99;18;Cámara 12MP;4GB RAM;128GB ROM;iOS
Apple;iPhone 14;1199,99;48;Cámara 50MP;6GB RAM;128GB ROM;iOS
Apple;iPhone 14 Pro;1299,99;23;Cámara 48MP;12GB RAM;256GB ROM;iOS
Apple;iPhone 15;1399,99;95;Cámara 50MP;12GB RAM;64GB ROM;iOS
Apple;iPhone 8;399,99;10;Cámara 64MP;8GB RAM;128GB ROM;iOS
Apple;iPhone SE;499,99;85;Cámara 12MP;6GB RAM;256GB ROM;iOS
Apple;iPhone XR;499,99;12;Cámara 50MP;8GB RAM;128GB ROM;iOS
Apple;iPhone XS;649,99;55;Cámara 50MP;12GB RAM;128GB ROM;iOS
Samsung;Galaxy A14;229,99;22;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Apple;iPhone 11;599,99;43;Cámara 12MP;6GB RAM;64GB ROM;iOS
Samsung;Galaxy A14;229,99;22;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Samsung;Galaxy A14;229,99;21;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Samsung;Galaxy A14;229,99;22;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Samsung;Galaxy A14;229,99;22;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
Samsung;Galaxy A14;229,99;22;Cámara 48MP;8GB RAM;64GB ROM;HarmonyOS
